Actor ID,Movie Title
100047,The Violin Maker of Cremona
100047,Secrets
100047,The Little American
100047,The Taming of the Shrew
100047,Fanchon the Cricket
100047,Hearts Adrift
100047,Captain Kidd Jr.
100047,How Could You Jean?
100047,A Manly Man
100047,Mary Pickford: A Life on Film
100047,The Lonely Villa
100047,A Pueblo Legend
100047,All-Star Production of Patriotic Episodes for the Second Liberty Loan
100047,Artful Kate
100047,Such a Little Queen
100047,Mary Pickford: The Muse of the Movies
100047,Sweet and Twenty
100047,Less Than the Dust
100047,The Thread of Destiny
100047,The Little Teacher
100047,A Romance of the Western Hills
100047,Tender Hearts
100047,What's Your Hurry?
100047,The Trick that Failed
100047,To Save Her Soul
100047,All on Account of the Milk
100047,The Woman from Mellon's
100047,The Twisted Trail
100047,In the Season of Buds
100047,Never Again
100047,May and December
100047,Their First Misunderstanding
100047,When We Were in Our 'Teens
100047,The Sorrows of the Unfaithful
100047,A Gold Necklace
100047,A Lucky Toothache
100047,In the Bishop's Carriage
100047,The Foundling
100047,Simple Charity
100047,Caprice
100047,A Plain Song
100047,White Roses
100047,Maid or Man
100047,Three Sisters
100047,When the Cat's Away
100047,The Eagle's Mate
100047,Her Darkest Hour
100047,The Convert
100047,The Message in the Bottle
100047,The Fisher-Maid
100047,Mistress Nell
100047,The Dawn of a Tomorrow
100047,The Stampede
100047,Little Pal
100047,The Fair Dentist
100047,For Her Brother's Sake
100047,Back to the Soil
100047,Hulda from Holland
100047,A Girl of Yesterday
100047,Rags
100047,Esmeralda
100047,For the Queen's Honor
100047,A Gasoline Engagement
100047,At a Quarter of Two
100047,Science
100047,The Skating Bug
100047,The Call of the Song
100047,The Toss of a Coin
100047,The Unwelcome Guest
100047,My Baby
100047,A Feud in the Kentucky Hills
100047,Lena and the Geese
100047,'Tween Two Loves
100047,Home Folks
100047,Just Like a Woman
100047,Iola's Promise
100047,Fate's Interception
100047,The Courting of Mary
100047,Love Heeds Not Showers
100047,Little Red Riding Hood
100047,The Caddy's Dream
100047,Honor Thy Father
100047,The Sentinel Asleep
100047,The Portrait
100047,How Mary Fixed it
100047,A Timely Repentance
100047,The Foundling
100047,Behind the Stockade
100047,From the Bottom of the Sea
100047,The Old Actor
100047,The Unchanging Sea
100047,A Kiss from Mary Pickford
100047,The Mirror
100047,As a Boy Dreams
100047,The Gibson Goddess
100047,The Light That Came
100047,The Broken Locket
100047,The Italian Barber
100047,One From Many
100047,The Mexican Sweethearts
100047,They Would Elope
100047,The Test
100047,The Newlyweds
100047,The Smoker
100047,What Do Those Old Films Mean?
100047,Muggsy's First Sweetheart
100047,A Child's Impulse
100047,Muggsy Becomes a Hero
100047,A Gold Necklace
100047,A Lucky Toothache
100047,Simple Charity
100047,The Song of the Wildwood Flute
100047,When a Man Loves
100047,His Wife's Visitor
100047,Behind the Scenes
100047,Tracked
100047,The Secret of the Palm
100047,Mistress Nell
100047,While There is hope There is Life
100047,Second Sight
100047,The Master and the Man
100047,The Lighthouse Keeper
100047,In the Sultan's Garden
100047,A Lodging for the Night
100047,The Informer
100047,The One She Loved
100047,Won by a Fish
100047,The Better Way
100047,His Dress Shirt
100047,The Sealed Room
100047,Getting Even
100047,The Indian Runner's Romance
100047,The Way of Man
100047,The Awakening
100047,Star Night at the Cocoanut Grove
100047,Two Memories
100047,The Faded Lilies
100047,The Peachbasket Hat
100047,The Necklace
100047,The Cardinal's Conspiracy
100047,Oh Uncle!
100047,1776 or The Hessian Renegades
100047,In Old Kentucky
100047,His Lost Love
100047,A Midnight Adventure
100047,The Newlyweds
100047,A Rich Revenge
100047,A Victim of Jealousy
100047,In the Sultan's Garden
100047,The Female of the Species
100047,With the Enemy's Help
100047,An Indian Summer
100047,The Rose's Story
100047,Cupid Angling
100047,Her First Biscuits
100047,Love Among the Roses
100047,His Duty
100047,The Slave
100047,The Restoration
100047,The Heart of an Outlaw
100047,A Decree of Destiny
100047,The Inner Circle
100047,Cavalcade of the Academy Awards
100047,The Seventh Day
100047,In the Watches of the Night
100047,The Call to Arms
100047,Pictureland
100047,Hedda Hopper’s Hollywood No. 6
100047,Sigrid Holmquist
100047,The Country Doctor
100047,Through the Breakers
100047,Waiter No. 5
100047,The Gaucho
100047,D.W. Griffith - Years of Discovery 1909-1913
100047,Chaplin Today: The Gold Rush
100047,A Strange Meeting
100047,The Englishman and the Girl
100047,The Two Brothers
100047,Pippa Passes
100047,The Women Who Run Hollywood
100047,The Black Pirate
100047,Birth of the Tramp
100047,Lines of White on a Sullen Sea
100047,Hollywood Hobbies
100047,Hedda Hopper's Hollywood No. 2
100047,Star Power: The Creation Of United Artists
100047,The House That Shadows Built
100047,The Tramp and the Dictator
100047,Cinecittà Babylon
100047,Hollywood’s Children
100047,Why Be Good?: Sexuality & Censorship in Early Cinema
100047,Ben-Hur: A Tale of the Christ
100047,Hollywood My Home Town
100047,Hollywood Without Make-Up
124309,Doctor Syn
124309,Disraeli
124309,The House of Rothschild
124309,The Working Man
124309,The Green Goddess
124309,The Man Who Played God
124309,A Successful Calamity
124309,The King's Vacation
124309,The Last Gentleman
124309,Voltaire
124309,The Millionaire
124309,Alexander Hamilton
124309,His Lordship
124309,Old English
124309,Cardinal Richelieu
124309,The Devil
124309,The Iron Duke
124309,The Green Goddess
124309,The Guv'nor
124309,East Meets West
124309,Disraeli
124309,Twenty Dollars a Week
124309,The Man Who Played God
124309,The Ruling Passion
124309,The Voice That Thrilled the World
124309,Cavalcade of the Academy Awards
124309,The Tunnel
124309,The Eternal Jew
124309,And the Oscar Goes To...
88867,The Women
88867,Idiot's Delight
88867,The Barretts of Wimpole Street
88867,Marie Antoinette
88867,Romeo and Juliet
88867,A Free Soul
88867,The Divorcee
88867,Lady of the Night
88867,Smilin' Through
88867,Her Cardboard Lover
88867,Private Lives
88867,Their Own Desire
88867,The Trial Of Mary Dugan
88867,Strangers May Kiss
88867,Escape
88867,Strange Interlude
88867,Let Us Be Gay
88867,Upstage
88867,A Lady of Chance
88867,The Waning Sex
88867,The Devil's Circus
88867,After Midnight
88867,Riptide
88867,We Were Dancing
88867,The Last of Mrs. Cheyney
88867,The Stolen Jools
88867,He Who Gets Slapped
88867,The Wolf Man
88867,A Clouded Name
88867,The Student Prince in Old Heidelberg
88867,The Tower of Lies
88867,The Actress
88867,The Kid Stays in the Picture
88867,The Latest from Paris
88867,A Slave of Fashion
88867,His Secretary
88867,Torchy's Millions
88867,The Stealers
88867,The Man Who Paid
88867,The Taming of the Shrewd
88867,The Bootleggers
88867,Man and Wife
88867,The Devil's Partner
88867,Pleasure Mad
88867,The Trail of the Law
88867,Broken Barriers
88867,Empty Hands
88867,Excuse Me
88867,The End of the World
88867,The Demi-Bride
88867,Lucretia Lombard
88867,Broadway After Dark
88867,The Snob
88867,Blue Water
88867,The Star Boarder
88867,The Wanters
88867,The Hollywood Revue of 1929
88867,Waking Up the Town
88867,The Miracle of Sound
88867,Cavalcade of the Academy Awards
88867,Hollywood Goes to Town
88867,Pretty Ladies
88867,Wir schalten um auf Hollywood
88867,Master Will Shakespeare
88867,The Making of a Legend: Gone with the Wind
88867,The Restless Sex
88867,The Romance of Celluloid
88867,The Film Parade
88867,Screen Snapshots Series 18 No. 8
88867,Another Romance of Celluloid
88867,The Christmas Party
88867,1925 Studio Tour
88867,Thou Shalt Not: Sex Sin and Censorship in Pre-Code Hollywood
88867,Way Down East
88867,From the Ends of the Earth
88867,Going Hollywood
88867,Complicated Women
88867,Hollywood : la vie rêvée de Lana Turner
88867,Hollywood: Style Center of the World
88867,Leslie Howard: The Man Who Gave a Damn
88867,Judy Garland: By Myself
88867,Twenty Years After
88867,That's Entertainment! III
88867,That's Entertainment!
88867,Hollywood Out-takes and Rare Footage
88867,Hollywood Without Make-Up
17753,Calling Dr. Gillespie
17753,Public Hero Number 1
17753,On Borrowed Time
17753,Mark of the Vampire
17753,The Devil-Doll
17753,The Broken Lullaby
17753,The Mysterious Island
17753,Dr. Gillespie's Criminal Case
17753,Should Ladies Behave
17753,Young Dr. Kildare
17753,A Family Affair
17753,The Return Of Peter Grimm
17753,Guilty Hands
17753,3 Men in White
17753,The Voice of Bugle Ann
17753,The Wanderer
17753,Dr. Gillespie's New Assistant
17753,Sweepings
17753,The Bells
17753,The Burglar’s Dilemma
17753,Wife Tamers
17753,One Man's Journey
17753,The Washington Masquerade
17753,The Stranger's Return
17753,Dark Delusion
17753,Brooding Eyes
17753,Enemies of Women
17753,West of Zanzibar
17753,You Can't Take It with You
17753,The Little Colonel
17753,Sadie Thompson
17753,Rasputin and the Empress
17753,Tennessee Johnson
17753,Dr. Kildare's Wedding Day
17753,Dr. Kildare Goes Home
17753,Dr. Kildare's Crisis
17753,The Yellow Ticket
17753,The Girl from Missouri
17753,The New York Hat
17753,Calling Dr. Kildare
17753,The Secret of Dr. Kildare
17753,Dr. Kildare's Strange Case
17753,The People Vs. Dr. Kildare
17753,Dr. Kildare's Victory
17753,A Yank at Oxford
17753,The Miser's Heart
17753,Down to the Sea in Ships
17753,The Switch Tower
17753,Three Wise Fools
17753,Between Two Women
17753,This Side of Heaven
17753,Looking Forward
17753,Arsene Lupin
17753,The Christmas Party
17753,Unseeing Eyes
17753,Paris at Midnight
17753,The Devil's Garden
17753,Body and Soul
17753,The Bad Man
17753,Ah Wilderness!
17753,The Face in the Fog
17753,Some of the Best: Twenty-Five Years of Motion Picture Leadership
17753,The Mesmerist
17753,The Girl Who Wouldn't Work
17753,The Metro-Goldwyn-Mayer Story
17753,The Quitter
17753,The Great Adventure
17753,The River Woman
17753,Children of the Whirlwind
17753,The Copperhead
17753,Jim the Penman
17753,The Thirteenth Hour
17753,The Woman in Black
17753,Film Fun
17753,The Upheaval
17753,It's a Wonderful Life
17753,Key Largo
17753,Mata Hari
17753,Treasure Island
17753,Camille
17753,Saratoga
17753,Captains Courageous
17753,A Free Soul
17753,The Road to Glory
17753,The Show
17753,The Gorgeous Hussy
17753,Friends
17753,Brute Force
17753,Bannerline
17753,Our Mr. Sun
17753,Carolina
17753,Drums of Love
17753,Alias Jimmy Valentine
17753,The Penalty
17753,Christopher Bean
17753,The Lion and the Mouse
17753,Breakdowns of 1949
17753,Wildfire
17753,Fifty-Fifty
17753,The Last Will and Testament of Tom Smith
17753,Duel in the Sun
17753,Test Pilot
17753,The Valley of Decision
17753,Lone Star
17753,Lady Be Good
17753,Night Flight
17753,The Temptress
17753,Death's Marathon
17753,The Yaqui Cur
17753,So Near Yet So Far
17753,Fighting Blood
17753,Let Freedom Ring
17753,Right Cross
17753,The Eternal City
17753,The Lucky Lady
17753,An Indian's Loyalty
17753,The Strong Man's Burden
17753,The One She Loved
17753,Women Love Diamonds
17753,Oil and Water
17753,The Lady and the Mouse
17753,Grand Hotel
17753,Dinner at Eight
17753,Navy Blue and Gold
17753,The Massacre
17753,The Secret Heart
17753,Three Friends
17753,A Timely Interception
17753,The God Within
17753,Since You Went Away
17753,A Guy Named Joe
17753,Malaya
17753,Strongheart
17753,Main Street to Broadway
17753,The Painted Lady
17753,Fate
17753,America
17753,Classmates
17753,Twenty Years After
17753,The Movies March On
17753,From the Ends of the Earth
17753,My Baby
17753,Hollywood: Style Center of the World
17753,The Little Tease
17753,Free and Easy
