year,category,winner,entity,First Name,Last Name,ID Number
1976,ACTRESS IN A LEADING ROLE,True,Faye Dunaway,Faye,Dunaway,6450
1977,ACTOR IN A LEADING ROLE,True,Richard Dreyfuss,Richard,Dreyfuss,3037
1977,ACTRESS IN A LEADING ROLE,True,Diane Keaton,Diane,Keaton,3092
1978,ACTOR IN A LEADING ROLE,True,Jon Voight,Jon,Voight,10127
1978,ACTRESS IN A LEADING ROLE,True,Jane Fonda,Jane,Fonda,6352
1979,ACTOR IN A LEADING ROLE,True,Dustin Hoffman,Dustin,Hoffman,4483
1979,ACTRESS IN A LEADING ROLE,True,Sally Field,Sally,Field,35
1980,ACTOR IN A LEADING ROLE,True,Robert De Niro,Robert,De,380
1980,ACTRESS IN A LEADING ROLE,True,Sissy Spacek,Sissy,Spacek,5606
1981,ACTOR IN A LEADING ROLE,True,Henry Fonda,Henry,Fonda,4958
1981,ACTRESS IN A LEADING ROLE,True,Katharine Hepburn,Katharine,Hepburn,6598
1982,ACTOR IN A LEADING ROLE,True,Ben Kingsley,Ben,Kingsley,2282
1982,ACTRESS IN A LEADING ROLE,True,Meryl Streep,Meryl,Streep,5064
1983,ACTOR IN A LEADING ROLE,True,Robert Duvall,Robert,Duvall,3087
1983,ACTRESS IN A LEADING ROLE,True,Shirley MacLaine,Shirley,MacLaine,4090
1984,ACTOR IN A LEADING ROLE,True,F. Murray Abraham,F.,Murray,1164
1984,ACTRESS IN A LEADING ROLE,True,Sally Field,Sally,Field,35
1985,ACTOR IN A LEADING ROLE,True,William Hurt,William,Hurt,227
1985,ACTRESS IN A LEADING ROLE,True,Geraldine Page,Geraldine,Page,41283
1986,ACTOR IN A LEADING ROLE,True,Paul Newman,Paul,Newman,3636
1986,ACTRESS IN A LEADING ROLE,True,Marlee Matlin,Marlee,Matlin,19797
1987,ACTOR IN A LEADING ROLE,True,Michael Douglas,Michael,Douglas,3392
1987,ACTRESS IN A LEADING ROLE,True,Cher,Cher,,38225
1988,ACTOR IN A LEADING ROLE,True,Dustin Hoffman,Dustin,Hoffman,4483
1988,ACTRESS IN A LEADING ROLE,True,Jodie Foster,Jodie,Foster,1038
1989,ACTOR IN A LEADING ROLE,True,Daniel Day Lewis,Daniel,Day,11856
1989,ACTRESS IN A LEADING ROLE,True,Jessica Tandy,Jessica,Tandy,5698
1990,ACTOR IN A LEADING ROLE,True,Jeremy Irons,Jeremy,Irons,16940
1990,ACTRESS IN A LEADING ROLE,True,Kathy Bates,Kathy,Bates,8534
1991,ACTOR IN A LEADING ROLE,True,Anthony Hopkins,Anthony,Hopkins,4173
1991,ACTRESS IN A LEADING ROLE,True,Jodie Foster,Jodie,Foster,1038
1992,ACTOR IN A LEADING ROLE,True,Al Pacino,Al,Pacino,1158
1992,ACTRESS IN A LEADING ROLE,True,Emma Thompson,Emma,Thompson,7056
1993,ACTOR IN A LEADING ROLE,True,Tom Hanks,Tom,Hanks,31
1993,ACTRESS IN A LEADING ROLE,True,Holly Hunter,Holly,Hunter,18686
1994,ACTOR IN A LEADING ROLE,True,Tom Hanks,Tom,Hanks,31
1994,ACTRESS IN A LEADING ROLE,True,Jessica Lange,Jessica,Lange,4431
1995,ACTOR IN A LEADING ROLE,True,Nicolas Cage,Nicolas,Cage,2963
1995,ACTRESS IN A LEADING ROLE,True,Susan Sarandon,Susan,Sarandon,4038
1996,ACTOR IN A LEADING ROLE,True,Geoffrey Rush,Geoffrey,Rush,118
1996,ACTRESS IN A LEADING ROLE,True,Frances McDormand,Frances,McDormand,3910
1997,ACTOR IN A LEADING ROLE,True,Jack Nicholson,Jack,Nicholson,514
1997,ACTRESS IN A LEADING ROLE,True,Helen Hunt,Helen,Hunt,9994
1998,ACTOR IN A LEADING ROLE,True,Roberto Benigni,Roberto,Benigni,4818
1998,ACTRESS IN A LEADING ROLE,True,Gwyneth Paltrow,Gwyneth,Paltrow,12052
1999,ACTOR IN A LEADING ROLE,True,Kevin Spacey,Kevin,Spacey,1979
1999,ACTRESS IN A LEADING ROLE,True,Hilary Swank,Hilary,Swank,448
2000,ACTOR IN A LEADING ROLE,True,Russell Crowe,Russell,Crowe,934
2000,ACTRESS IN A LEADING ROLE,True,Julia Roberts,Julia,Roberts,1204
2001,ACTOR IN A LEADING ROLE,True,Denzel Washington,Denzel,Washington,5292
2001,ACTRESS IN A LEADING ROLE,True,Halle Berry,Halle,Berry,4587
2002,ACTOR IN A LEADING ROLE,True,Adrien Brody,Adrien,Brody,3490
2002,ACTRESS IN A LEADING ROLE,True,Nicole Kidman,Nicole,Kidman,2227
2003,ACTOR IN A LEADING ROLE,True,Sean Penn,Sean,Penn,2228
2003,ACTRESS IN A LEADING ROLE,True,Charlize Theron,Charlize,Theron,6885
2004,ACTOR IN A LEADING ROLE,True,Jamie Foxx,Jamie,Foxx,134
2004,ACTRESS IN A LEADING ROLE,True,Hilary Swank,Hilary,Swank,448
2005,ACTOR IN A LEADING ROLE,True,Philip Seymour Hoffman,Philip,Seymour,1233
2005,ACTRESS IN A LEADING ROLE,True,Reese Witherspoon,Reese,Witherspoon,368
2006,ACTOR IN A LEADING ROLE,True,Forest Whitaker,Forest,Whitaker,2178
2006,ACTRESS IN A LEADING ROLE,True,Helen Mirren,Helen,Mirren,15735
2007,ACTOR IN A LEADING ROLE,True,Daniel Day-Lewis,Daniel,Day-Lewis,11856
2007,ACTRESS IN A LEADING ROLE,True,Marion Cotillard,Marion,Cotillard,8293
